"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Status"
"godspeed-on-the-run-long-sleeve-t-shirt-black","Godspeed On The Run Long Sleeve T-Shirt - Black","<p>On The Run</p> <p>This T-Shirt is crafted from 10oz mid-weight washed fabric and features a striking art piece topped off with stones around the crown.</p> <p><meta charset=""utf-8"">LIMITED TO 444 NUMBERED EXAMPLES NO REPRODUCTION EVER</p>","Godspeed","T-Shirts","New Arrivals","2025-10-17T14:55:57-05:00","Size","S","","","","","On-The-Run-Ls-Black-Wash","0","","deny","manual","200.00","","true","true","","https://cdn.shopify.com/s/files/1/0624/9086/9968/files/62_3aa0a93e-558d-452b-bc01-9adcbea122a3.png?v=1760730649","","","false","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0624/9086/9968/files/62_3aa0a93e-558d-452b-bc01-9adcbea122a3.png?v=1760730649","","","","active"
"godspeed-on-the-run-long-sleeve-t-shirt-black","","","","","","","Size","M","","","","","On-The-Run-Ls-Black-Wash","0","","deny","manual","200.00","","true","true","","https://cdn.shopify.com/s/files/1/0624/9086/9968/files/62.2_ecd74c9f-78d0-45f9-95a2-eb55b701ac93.png?v=1760730695","","","false","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0624/9086/9968/files/62.2_ecd74c9f-78d0-45f9-95a2-eb55b701ac93.png?v=1760730695","","","","active"
"godspeed-on-the-run-long-sleeve-t-shirt-black","","","","","","","Size","L","","","","","On-The-Run-Ls-Black-Wash","0","","deny","manual","200.00","","true","true","","https://cdn.shopify.com/s/files/1/0624/9086/9968/files/62.3_d78b2a21-459e-455c-be02-a7ce978e270c.png?v=1760730837","","","false","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0624/9086/9968/files/62.3_d78b2a21-459e-455c-be02-a7ce978e270c.png?v=1760730837","","","","active"
"godspeed-on-the-run-long-sleeve-t-shirt-black","","","","","","","Size","XL","","","","","On-The-Run-Ls-Black-Wash","0","","deny","manual","200.00","","true","true","","","","","false","","","","","","","","","","","","","","","","","","","","active"
"godspeed-on-the-run-long-sleeve-t-shirt-black","","","","","","","Size","2XL","","","","","On-The-Run-Ls-Black-Wash","0","","deny","manual","200.00","","true","true","","","","","false","","","","","","","","","","","","","","","","","","","","active"
"godspeed-sunken-liberty-2-layered-t-shirt-black","Godspeed Sunken Liberty 2 Layered T-Shirt - Black","<p>Sunken Liberty</p> <p>This T-Shirt is crafted from 10oz mid-weight washed fabric, features a striking digital art piece with thermal sleeves. With a limited run of 300 units, it comes with a numbered tag to confirm its authenticity.</p> <p>OVERSIZED FIT, SIZE DOWN FOR NON-OVERSIZED LOOK</p> <p>Once the art pieces are sold, they will not be restocked ever.</p>","Godspeed","T-Shirts","New Arrivals","2025-10-17T14:55:46-05:00","Size","S","","","","","Sunken-Liberty-2-Layered-T-Shirt-Black","0","","deny","manual","200.00","","true","true","","https://cdn.shopify.com/s/files/1/0624/9086/9968/files/64_686760cd-74c2-4856-b5e4-e9cfcc72a5e4.png?v=1760730936","","","false","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0624/9086/9968/files/64_686760cd-74c2-4856-b5e4-e9cfcc72a5e4.png?v=1760730936","","","","active"
"godspeed-sunken-liberty-2-layered-t-shirt-black","","","","","","","Size","M","","","","","Sunken-Liberty-2-Layered-T-Shirt-Black","0","","deny","manual","200.00","","true","true","","https://cdn.shopify.com/s/files/1/0624/9086/9968/files/64.2_3ce5bcdc-5d59-47e2-b24c-137140107936.png?v=1760730936","","","false","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0624/9086/9968/files/64.2_3ce5bcdc-5d59-47e2-b24c-137140107936.png?v=1760730936","","","","active"
"godspeed-sunken-liberty-2-layered-t-shirt-black","","","","","","","Size","L","","","","","Sunken-Liberty-2-Layered-T-Shirt-Black","0","","deny","manual","200.00","","true","true","","https://cdn.shopify.com/s/files/1/0624/9086/9968/files/64.3.png?v=1760730936","","","false","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0624/9086/9968/files/64.3.png?v=1760730936","","","","active"
"godspeed-sunken-liberty-2-layered-t-shirt-black","","","","","","","Size","XL","","","","","Sunken-Liberty-2-Layered-T-Shirt-Black","0","","deny","manual","200.00","","true","true","","","","","false","","","","","","","","","","","","","","","","","","","","active"
"godspeed-sunken-liberty-2-layered-t-shirt-black","","","","","","","Size","2XL","","","","","Sunken-Liberty-2-Layered-T-Shirt-Black","0","","deny","manual","200.00","","true","true","","","","","false","","","","","","","","","","","","","","","","","","","","active"
